City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Jalu,LY,2021-10-23 17:26:22,29.0331,21.5482,78.48,28,1,8.52
251,Flinders,AU,2021-10-23 17:26:22,-34.5833,150.8552,64.2,88,75,4.0
252,Ipixuna,BR,2021-10-23 17:26:22,-1.7625,-48.8043,85.95,65,94,5.35
253,Karratha,AU,2021-10-23 17:26:23,-20.7377,116.8463,80.58,44,79,10.63
254,Torbay,CA,2021-10-23 17:26:23,47.6666,-52.7314,63.28,92,90,16.11
255,Port-Gentil,GA,2021-10-23 17:26:23,-0.7193,8.7815,78.19,79,100,9.4
256,Saint-Augustin,CA,2021-10-23 17:26:24,51.226,-58.6502,41.43,86,100,16.84
257,Oistins,BB,2021-10-23 17:26:24,13.0667,-59.5333,87.89,62,40,24.16
258,Miranda,CO,2021-10-23 17:26:24,3.2499,-76.2281,80.73,75,90,3.31
259,Zhuanghe,CN,2021-10-23 17:26:25,39.7008,122.9911,48.79,64,0,4.79
260,Rocha,UY,2021-10-23 17:24:42,-34.4833,-54.3333,59.23,80,100,0.76
261,Sabang,ID,2021-10-23 17:26:25,5.8933,95.3214,81.59,76,90,4.94
262,Harrisburg,US,2021-10-23 17:26:26,40.2737,-76.8844,60.66,83,90,4.0
263,Cherskiy,RU,2021-10-23 17:26:26,68.75,161.3,-6.43,100,100,2.37
264,Aklavik,CA,2021-10-23 17:26:27,68.2191,-135.0107,28.4,86,75,6.91
265,Richards Bay,ZA,2021-10-23 17:26:27,-28.783,32.0377,72.73,87,8,7.61
266,Xining,CN,2021-10-23 17:26:27,36.6167,101.7667,42.67,81,43,1.95
267,Tacna,PE,2021-10-23 17:26:28,-18.0056,-70.2483,62.8,59,20,8.05
268,Yaan,NG,2021-10-23 17:26:28,7.3833,8.5667,75.36,83,95,3.36
269,Lumphat,KH,2021-10-23 17:26:28,13.4878,106.9816,71.15,93,95,3.24
270,Victoria,HK,2021-10-23 17:26:29,22.2855,114.1577,70.25,79,73,3.0
271,Orbetello,IT,2021-10-23 17:26:29,42.4408,11.2196,68.02,74,57,2.68
272,Ciudad Bolivar,VE,2021-10-23 17:26:29,8.1222,-63.5497,86.38,61,77,6.96
273,Lashio,MM,2021-10-23 17:25:29,22.9333,97.75,63.64,99,40,0.6
274,Khorixas,NA,2021-10-23 17:26:30,-20.3667,14.9667,77.95,11,0,12.93
275,Hamilton,US,2021-10-23 17:25:54,39.1834,-84.5333,61.65,68,20,1.99
276,Palmar,CR,2021-10-23 17:26:30,9.8728,-84.4553,87.76,69,73,4.41
277,Tazovskiy,RU,2021-10-23 17:26:31,67.4667,78.7,27.91,97,97,10.65
278,Santa Cruz De La Palma,ES,2021-10-23 17:26:31,28.6835,-17.7642,71.13,88,75,10.36
279,Matay,EG,2021-10-23 17:26:31,28.419,30.7792,75.94,36,0,12.17
280,Ulaanbaatar,MN,2021-10-23 17:26:32,47.9077,106.8832,15.93,73,0,0.0
281,Benghazi,LY,2021-10-23 17:26:32,32.1167,20.0667,77.95,47,11,6.89
282,Itaituba,BR,2021-10-23 17:26:33,-4.2761,-55.9836,89.76,66,40,5.75
283,Quesnel,CA,2021-10-23 17:26:33,52.9999,-122.5029,39.7,93,20,6.91
284,Lipin Bor,RU,2021-10-23 17:26:33,60.2622,37.9763,37.89,97,100,6.85
285,Kashi,CN,2021-10-23 17:26:34,39.4547,75.9797,45.61,23,2,8.95
286,Saint-Denis,FR,2021-10-23 17:26:34,48.9167,2.3333,54.37,67,90,6.91
287,Praia Da Vitoria,PT,2021-10-23 17:26:34,38.7333,-27.0667,71.85,73,20,13.29
288,Waterloo,CA,2021-10-23 17:26:35,43.4668,-80.5164,48.72,69,20,3.0
289,Emirdag,TR,2021-10-23 17:26:35,39.0197,31.15,57.88,40,0,2.01
290,Inhambane,MZ,2021-10-23 17:26:35,-23.865,35.3833,74.82,82,0,17.69
291,Ayagoz,KZ,2021-10-23 17:26:36,47.9714,80.4392,36.84,51,67,14.94
